,acc,loss,val_acc,val_loss
0,0.2629629671573639,1.4944133758544922,0.4407407343387604,1.2612810134887695
1,0.34518519043922424,1.3563075065612793,0.4611110985279083,1.2384544610977173
2,0.43703705072402954,1.2517931461334229,0.42222222685813904,1.2729829549789429
3,0.4444444477558136,1.230486512184143,0.5018518567085266,1.1516060829162598
4,0.46000000834465027,1.20786714553833,0.4870370328426361,1.1606923341751099
5,0.4740740656852722,1.1689237356185913,0.5537037253379822,1.081363320350647
6,0.4977777898311615,1.1309696435928345,0.45370370149612427,1.1819241046905518
7,0.49851852655410767,1.1108977794647217,0.520370364189148,1.0869581699371338
8,0.512592613697052,1.0878838300704956,0.5833333134651184,1.0353769063949585
9,0.5162962675094604,1.0684715509414673,0.5759259462356567,1.0251410007476807
10,0.5274074077606201,1.053406000137329,0.5277777910232544,1.0670735836029053
11,0.5118518471717834,1.06736421585083,0.5111111402511597,1.1175633668899536
12,0.5496296286582947,1.021020531654358,0.5037037134170532,1.0892163515090942
13,0.5385185480117798,1.0453494787216187,0.5703703761100769,1.0215176343917847
14,0.5659258961677551,1.0127555131912231,0.5648148059844971,1.022185206413269
15,0.5600000023841858,1.0055869817733765,0.6259258985519409,0.9607366323471069
16,0.5785185098648071,0.9903062582015991,0.5370370149612427,1.0476096868515015
17,0.5777778029441833,0.9778227210044861,0.5944444537162781,0.9835466146469116
18,0.568148136138916,0.9607965350151062,0.6018518805503845,0.9711493849754333
19,0.5822222232818604,0.9636176228523254,0.550000011920929,1.0409932136535645
20,0.5755555629730225,0.9794188737869263,0.6166666746139526,0.9570110440254211
21,0.5896296501159668,0.9701730012893677,0.5425925850868225,1.0326818227767944
22,0.6007407307624817,0.9336485266685486,0.5907407402992249,0.9742658734321594
23,0.5785185098648071,0.9443327784538269,0.5759259462356567,0.984097957611084
24,0.5933333039283752,0.9283172488212585,0.5888888835906982,0.9613533020019531
25,0.5948148369789124,0.9202165603637695,0.5407407283782959,1.016464352607727
26,0.5933333039283752,0.9239552617073059,0.5462962985038757,1.0069713592529297
27,0.5970370173454285,0.926631510257721,0.5666666626930237,0.9844586253166199
28,0.5955555438995361,0.9248782992362976,0.550000011920929,1.026094913482666
29,0.6000000238418579,0.9158414006233215,0.5759259462356567,0.9691087603569031
30,0.6007407307624817,0.9181715846061707,0.5870370268821716,0.9514321684837341
31,0.6088888645172119,0.89300936460495,0.6037036776542664,0.9606211185455322
32,0.5896296501159668,0.9194788932800293,0.5555555820465088,0.9947614669799805
33,0.6237037181854248,0.8775482773780823,0.5518518686294556,0.9958953857421875
34,0.6140740513801575,0.8846440315246582,0.5740740895271301,0.9655812382698059
35,0.6259258985519409,0.8669464588165283,0.6222222447395325,0.928004801273346
36,0.6111111044883728,0.8859419226646423,0.6074073910713196,0.9317944049835205
37,0.6059259176254272,0.9055663347244263,0.6166666746139526,0.923923671245575
38,0.610370397567749,0.8898754715919495,0.6092592477798462,0.9355580806732178
39,0.6303703784942627,0.859265923500061,0.5833333134651184,0.9519485831260681
40,0.610370397567749,0.8874571323394775,0.635185182094574,0.9116512537002563
41,0.6177777647972107,0.8584493398666382,0.5907407402992249,0.9291509985923767
42,0.6325926184654236,0.8604300618171692,0.6018518805503845,0.9325688481330872
43,0.6222222447395325,0.8633384108543396,0.6092592477798462,0.9289907217025757
44,0.6281481385231018,0.8650694489479065,0.5314815044403076,1.0550355911254883
45,0.6281481385231018,0.8909235000610352,0.5888888835906982,0.9587453007698059
46,0.6162962913513184,0.8639849424362183,0.6425926089286804,0.9035620093345642
47,0.631851851940155,0.8545834422111511,0.6092592477798462,0.9201388359069824
48,0.6407407522201538,0.8415315747261047,0.5925925970077515,0.9234980940818787
49,0.644444465637207,0.8467519283294678,0.5370370149612427,1.0095890760421753
50,0.6385185122489929,0.8494032025337219,0.6000000238418579,0.9211904406547546
51,0.6185185313224792,0.8548597693443298,0.5611110925674438,0.9826620817184448
52,0.6281481385231018,0.8510584831237793,0.6259258985519409,0.9007938504219055
53,0.6651852130889893,0.7982268333435059,0.6296296119689941,0.8938800096511841
54,0.6555555462837219,0.8132385611534119,0.5870370268821716,0.9250850081443787
55,0.6281481385231018,0.8536050319671631,0.6259258985519409,0.8947188854217529
56,0.6281481385231018,0.8511574864387512,0.6092592477798462,0.9115048050880432
57,0.6355555653572083,0.8388850688934326,0.5722222328186035,0.9482147097587585
58,0.619259238243103,0.8555411696434021,0.5981481671333313,0.9268571734428406
59,0.6496296525001526,0.813922643661499,0.6370370388031006,0.8830428719520569
60,0.6407407522201538,0.8249975442886353,0.6111111044883728,0.915463387966156
61,0.6651852130889893,0.8104727268218994,0.6166666746139526,0.8972784876823425
62,0.6399999856948853,0.8303070068359375,0.6018518805503845,0.9217230081558228
63,0.6377778053283691,0.8175356984138489,0.6240741014480591,0.9031474590301514
64,0.6451851725578308,0.8289947509765625,0.6240741014480591,0.9079319834709167
65,0.6407407522201538,0.82271808385849,0.5555555820465088,1.0039422512054443
66,0.6451851725578308,0.8128394484519958,0.6092592477798462,0.9196023344993591
67,0.6340740919113159,0.8114441633224487,0.5888888835906982,0.9312333464622498
68,0.6466666460037231,0.8283581137657166,0.5870370268821716,0.9608961343765259
69,0.6474074125289917,0.8177899718284607,0.6499999761581421,0.8722462058067322
