,acc,loss,top3_acc,val_acc,val_loss,val_top3_acc
0,0.014074074104428291,4.827836513519287,0.04148148000240326,0.07037036865949631,4.293420314788818,0.13148148357868195
1,0.05407407507300377,4.354761600494385,0.1133333370089531,0.1537037044763565,4.021953582763672,0.25555557012557983
2,0.08518518507480621,4.07774543762207,0.16740740835666656,0.17407406866550446,3.84285569190979,0.3314814865589142
3,0.10296296328306198,3.921452283859253,0.21259258687496185,0.18518517911434174,3.692258834838867,0.3740740716457367
4,0.14222222566604614,3.7192492485046387,0.28074073791503906,0.2518518567085266,3.5529744625091553,0.47592592239379883
5,0.1666666716337204,3.5570547580718994,0.3311111032962799,0.3037036955356598,3.4413888454437256,0.5185185074806213
6,0.1859259307384491,3.4525246620178223,0.3718518614768982,0.3018518388271332,3.325296640396118,0.5425925850868225
7,0.22296296060085297,3.325592041015625,0.39037036895751953,0.3333333432674408,3.2283670902252197,0.5407407283782959
8,0.26370370388031006,3.19421648979187,0.4533333480358124,0.3592592477798462,3.133878469467163,0.6037036776542664
9,0.28074073791503906,3.0815107822418213,0.4911110997200012,0.41296297311782837,3.0473029613494873,0.6296296119689941
10,0.3059259355068207,2.997692584991455,0.504444420337677,0.4314814805984497,2.985591411590576,0.6370370388031006
11,0.3118518590927124,2.913632869720459,0.5392592549324036,0.4444444477558136,2.9030396938323975,0.6685185432434082
12,0.35111111402511597,2.813155174255371,0.5629629492759705,0.4888888895511627,2.8316869735717773,0.7074074149131775
13,0.36666667461395264,2.7471020221710205,0.5866666436195374,0.4833333194255829,2.7741262912750244,0.6777777671813965
14,0.40296295285224915,2.6526811122894287,0.602222204208374,0.5037037134170532,2.7168190479278564,0.7148148417472839
15,0.42888888716697693,2.5845742225646973,0.6459259390830994,0.5055555701255798,2.661975622177124,0.7092592716217041
16,0.44518518447875977,2.5122201442718506,0.653333306312561,0.5222222208976746,2.605731725692749,0.7277777791023254
17,0.4548148214817047,2.451258420944214,0.6681481599807739,0.5388888716697693,2.5612435340881348,0.7277777791023254
18,0.47111111879348755,2.3954708576202393,0.6962962746620178,0.5740740895271301,2.5094797611236572,0.7537037134170532
19,0.5014814734458923,2.334289312362671,0.7103703618049622,0.5407407283782959,2.4552457332611084,0.75
20,0.5081481337547302,2.2771620750427246,0.7251851558685303,0.5907407402992249,2.4158222675323486,0.7629629373550415
21,0.5303703546524048,2.222799777984619,0.7414814829826355,0.585185170173645,2.370584726333618,0.7574074268341064
22,0.5474073886871338,2.1501593589782715,0.7525925636291504,0.5796296000480652,2.3341712951660156,0.7740740776062012
23,0.5651851892471313,2.102419137954712,0.7644444704055786,0.585185170173645,2.2931787967681885,0.7944444417953491
24,0.5711110830307007,2.065643548965454,0.7814815044403076,0.6037036776542664,2.250835418701172,0.800000011920929
25,0.5659258961677551,2.0450026988983154,0.7622222304344177,0.5962963104248047,2.220796823501587,0.7814815044403076
26,0.5933333039283752,2.0044960975646973,0.7829629778862,0.6018518805503845,2.1850388050079346,0.7907407283782959
27,0.5933333039283752,1.9667887687683105,0.7844444513320923,0.6074073910713196,2.1574296951293945,0.7814815044403076
28,0.5985184907913208,1.927396535873413,0.8088889122009277,0.6129629611968994,2.1255176067352295,0.7925925850868225
29,0.614814817905426,1.8833043575286865,0.8037037253379822,0.6333333253860474,2.0977461338043213,0.8111110925674438
30,0.6229629516601562,1.8558329343795776,0.8081481456756592,0.5962963104248047,2.073110580444336,0.7870370149612427
31,0.631851851940155,1.805147409439087,0.8185185194015503,0.6259258985519409,2.0388569831848145,0.8240740895271301
32,0.6422222256660461,1.780569314956665,0.8348147869110107,0.6555555462837219,2.0034499168395996,0.8222222328186035
33,0.6644444465637207,1.7565492391586304,0.8251851797103882,0.6555555462837219,1.9865758419036865,0.8129629492759705
34,0.678518533706665,1.6969501972198486,0.838518500328064,0.664814829826355,1.9533700942993164,0.8074073791503906
35,0.6555555462837219,1.6852960586547852,0.8392592668533325,0.6518518328666687,1.9445273876190186,0.8222222328186035
36,0.653333306312561,1.6560138463974,0.8437036871910095,0.6518518328666687,1.9140745401382446,0.8314814567565918
37,0.6733333468437195,1.6418559551239014,0.8496296405792236,0.644444465637207,1.8943085670471191,0.8240740895271301
38,0.6651852130889893,1.6202090978622437,0.8496296405792236,0.6740740537643433,1.8639867305755615,0.8296296000480652
39,0.6970370411872864,1.5592799186706543,0.872592568397522,0.6499999761581421,1.8559529781341553,0.8277778029441833
40,0.6970370411872864,1.5783097743988037,0.8629629611968994,0.6888889074325562,1.8330045938491821,0.8462963104248047
41,0.7118518352508545,1.5073715448379517,0.8792592883110046,0.6592592597007751,1.8051722049713135,0.8444444537162781
42,0.7192592620849609,1.5130126476287842,0.8785185217857361,0.6407407522201538,1.803252935409546,0.8333333134651184
43,0.7088888883590698,1.4869345426559448,0.8837037086486816,0.6703703999519348,1.7760151624679565,0.8444444537162781
44,0.7155555486679077,1.4546823501586914,0.8740741014480591,0.6814814805984497,1.758412480354309,0.8388888835906982
45,0.7429629564285278,1.425078272819519,0.8874074220657349,0.6777777671813965,1.7336772680282593,0.8500000238418579
46,0.7333333492279053,1.4263440370559692,0.8837037086486816,0.6629629731178284,1.7269831895828247,0.8444444537162781
47,0.729629635810852,1.4139758348464966,0.8792592883110046,0.6611111164093018,1.710278868675232,0.8537036776542664
48,0.7459259033203125,1.3599900007247925,0.8933333158493042,0.6907407641410828,1.684325098991394,0.8537036776542664
49,0.7622222304344177,1.3471266031265259,0.8985185027122498,0.6722221970558167,1.6693471670150757,0.8666666746139526
50,0.7488889098167419,1.349489688873291,0.9059259295463562,0.6833333373069763,1.6625933647155762,0.8407407402992249
51,0.7681481242179871,1.3201403617858887,0.9155555367469788,0.6740740537643433,1.6488767862319946,0.8370370268821716
52,0.7644444704055786,1.2844526767730713,0.9044444561004639,0.6981481313705444,1.6357994079589844,0.8629629611968994
53,0.7496296167373657,1.2866613864898682,0.9059259295463562,0.7037037014961243,1.6165215969085693,0.855555534362793
54,0.7637037038803101,1.2884193658828735,0.8985185027122498,0.6907407641410828,1.6046894788742065,0.8592592477798462
55,0.7859259247779846,1.2404084205627441,0.9214814901351929,0.7037037014961243,1.5879769325256348,0.8666666746139526
56,0.8022222518920898,1.2144664525985718,0.9303703904151917,0.7018518447875977,1.5710722208023071,0.8592592477798462
57,0.7911111116409302,1.2043564319610596,0.9207407236099243,0.7074074149131775,1.563558578491211,0.8685185313224792
58,0.7859259247779846,1.195355772972107,0.9103703498840332,0.699999988079071,1.5586742162704468,0.864814817905426
59,0.7829629778862,1.171618938446045,0.9214814901351929,0.7037037014961243,1.546223521232605,0.8592592477798462
60,0.7888888716697693,1.1694151163101196,0.936296284198761,0.7111111283302307,1.5257322788238525,0.864814817905426
61,0.8022222518920898,1.15286123752594,0.9303703904151917,0.7055555582046509,1.5167574882507324,0.8629629611968994
62,0.8007407188415527,1.1294591426849365,0.9333333373069763,0.7055555582046509,1.5084831714630127,0.8685185313224792
63,0.8074073791503906,1.130104660987854,0.9355555772781372,0.7111111283302307,1.4910157918930054,0.8777777552604675
64,0.8014814853668213,1.1157755851745605,0.9333333373069763,0.7111111283302307,1.4793118238449097,0.8759258985519409
65,0.8222222328186035,1.0951032638549805,0.9340741038322449,0.7185184955596924,1.4619916677474976,0.8740741014480591
66,0.8022222518920898,1.089739441871643,0.9355555772781372,0.7222222089767456,1.467619776725769,0.8740741014480591
67,0.8251851797103882,1.0508910417556763,0.9348148107528687,0.720370352268219,1.4457712173461914,0.8814814686775208
68,0.8177777528762817,1.051845669746399,0.9399999976158142,0.7129629850387573,1.4391852617263794,0.8814814686775208
69,0.8229629397392273,1.0267980098724365,0.9414814710617065,0.7259259223937988,1.4364041090011597,0.8777777552604675
70,0.8111110925674438,1.0463154315948486,0.9355555772781372,0.7129629850387573,1.4330309629440308,0.8685185313224792
71,0.8148148059844971,1.0473430156707764,0.9333333373069763,0.7314814925193787,1.4196230173110962,0.8722222447395325
72,0.8148148059844971,1.0171642303466797,0.9437037110328674,0.7111111283302307,1.410210371017456,0.8777777552604675
73,0.8177777528762817,1.00637686252594,0.9407407641410828,0.7240740656852722,1.4003949165344238,0.8833333253860474
74,0.8222222328186035,1.0078412294387817,0.9370370507240295,0.7185184955596924,1.3849358558654785,0.8814814686775208
